x_target y_target x_pred y_pred distance
929 208 689.5733588915748 344.719263183006 275.7123018614996
911 217 683.4491820837234 337.0354051284156 257.2700394890733
893 226 677.247893230221 339.01954741164116 243.5618805821845
875 236 680.7606921496296 339.58257328617333 220.13236518689487
858 245 678.8769841183671 338.8680357162963 202.22824468349515
840 254 677.489685024701 338.2141293352321 183.0344832348869
822 263 679.0211622605675 338.62715103816356 161.74799539860817
805 273 677.4800135245906 337.3357919310705 142.83011263065848
787 282 680.3581553435479 339.0233416685244 120.93032922627862
769 291 680.509615225954 336.8461442590017 99.66151283658051
751 301 675.1338994508103 333.42188340135465 82.50359832050235
734 310 673.5244976942176 334.1936050255094 65.1353736710479
716 319 672.5705887244608 334.38537456812185 46.074108937030395
698 329 673.2690693479769 334.07822625550045 25.24692679945874
681 338 678.7158557481255 335.6542480955598 3.2741207919922886
663 347 678.5509081881838 337.02445701829174 18.475448661865606
645 356 676.5129643335655 334.78472498489964 37.98887751770131
628 366 676.3404183745718 332.89306717936284 58.59065667338792
610 375 679.251022644368 334.03954632012324 80.45783307392827
592 384 678.5059116847148 332.0365548643225 100.91319233267886
574 394 678.6446077810072 332.6638744539466 121.29556560172364
557 403 689.3120393281257 327.2021779401373 152.4853618554453
539 412 700.4544692735021 318.4238029574142 186.61203150210088
521 422 695.8944506412097 322.7547946038575 201.09122223312744
504 431 683.8748037353064 326.4800508516658 208.03693130976856
486 440 672.908460641215 343.7764303739115 210.2230910505678
468 450 668.3708675819985 349.4665306651531 224.17730266925636
450 459 663.3646233368158 357.36659081325394 236.33411170328725
433 468 666.3557269244604 366.48892570187957 254.4786700169621
415 477 687.035741618791 355.576302305147 297.90461406291894
397 487 690.7153689132207 345.3281059846679 326.09759810480176
380 496 680.4433795271987 320.14803077891145 348.1237414780253
362 505 673.6783391469221 298.3061220653273 373.9862915523203
344 515 675.3361983645166 298.30326640008263 395.90548202762216
327 524 665.51116847259 320.80577291621364 394.8135067355923
309 533 658.678170899145 333.8305779286634 402.421771145153
291 543 656.2097535754064 345.33929295095777 415.26849051876826
273 552 644.261855865665 344.7835023436317 425.17530798694025
256 561 654.5365867758728 323.59895825988593 463.8864792363043
238 570 676.3529209224497 306.0985562661473 511.6612700664916
220 580 666.5439007701059 299.51513201223963 527.3264799771518
203 589 676.4813343479669 294.2960205255647 557.7051277279057
185 598 666.8392251022947 298.08447747171 567.5547193888859
167 608 662.5542543558481 306.5037199636422 580.0638119086059
150 617 657.7677215999558 307.1167542107219 594.8577015721562
132 626 658.5945046681455 307.7862283939944 615.273741343159
114 636 661.7695960309018 312.4075022647884 636.210370024232
96 645 666.1199201670553 313.936758208986 659.2720177866378
79 654 665.775132183982 312.98660009363704 678.671639797352
61 663 662.9381947035529 319.3483576357343 693.1277238306296
50 670 656.8543373143339 326.48294105231196 697.335038919807
70 670 645.7494780995257 331.0471904597771 668.1141134769471
90 670 647.5254136609424 319.9189696619612 658.3246271258183
110 670 634.5074735032006 339.07215928901275 620.1784626366408
130 670 646.454443754226 315.57856118488155 626.3702968414656
150 670 655.2983838636878 302.8008194086217 624.6292460029665
170 670 644.2460773010723 325.28444097835825 586.2918713977344
190 670 654.4106044950996 330.6140337889021 575.2043494520398
210 670 656.027941895775 333.5385590460859 558.7013747974539
